TIME,FOOD,RAPI,LAI,BG,BG,BG
00:00,NA,NA,NA,7.05,6.86834233,Mean
00:10,NA,NA,NA,7.05,6.86834233,Mean
00:20,NA,NA,NA,7.05,6.86834233,Mean
00:30,NA,NA,NA,7.05,6.86834233,Mean
00:40,NA,NA,NA,7.05,6.86834233,Mean
00:50,NA,NA,NA,7.05,6.86834233,Mean
01:00,NA,NA,NA,7.05,6.86834233,Mean
01:10,NA,NA,NA,7.05,6.86834233,Mean
01:20,NA,NA,NA,7.05,6.86834233,Mean
01:30,NA,NA,NA,7.05,6.86834233,Mean
01:40,NA,NA,NA,7.05,6.86834233,Mean
01:50,NA,NA,NA,7.05,6.86834233,Mean
02:00,NA,NA,NA,7.05,6.86834233,Mean
02:10,NA,NA,NA,7.05,6.86834233,Mean
02:20,NA,NA,NA,7.05,6.86834233,Mean
02:30,NA,NA,NA,7.05,6.86834233,Mean
02:40,NA,NA,NA,7.05,6.86834233,Mean
02:50,NA,NA,NA,7.05,6.86834233,Mean
03:00,NA,NA,NA,7.05,6.86834233,Mean
03:10,NA,NA,NA,7.05,6.86834233,Mean
03:20,NA,NA,NA,7.05,6.86834233,Mean
03:30,NA,NA,NA,7.05,6.86834233,Mean
03:40,NA,NA,NA,7.05,6.86834233,Mean
03:50,NA,NA,NA,7.05,6.86834233,Mean
04:00,NA,NA,NA,7.05,6.86834233,Mean
04:10,NA,NA,NA,7.05,6.86834233,Mean
04:20,NA,NA,NA,7.05,6.86834233,Mean
04:30,NA,NA,NA,7.05,6.86834233,Mean
04:40,NA,NA,NA,7.05,6.86834233,Mean
04:50,NA,NA,NA,7.05,6.86834233,Mean
05:00,NA,NA,NA,7.05,6.86834233,Mean
05:10,NA,NA,NA,7.05,6.86834233,Mean
05:20,NA,NA,NA,7.05,6.86834233,Mean
05:30,NA,NA,NA,7.05,6.86834233,Mean
05:40,NA,NA,NA,7.05,6.86834233,Mean
05:50,NA,NA,NA,7.05,6.86834233,Mean
06:00,NA,NA,NA,7.05,6.86834233,Mean
06:10,NA,NA,NA,7.05,6.86834233,Mean
06:20,NA,NA,NA,7.05,6.86834233,Mean
06:30,NA,NA,NA,7.05,6.86834233,Mean
06:40,NA,NA,NA,7.05,6.86834233,Mean
06:50,NA,NA,NA,7.05,6.86834233,Mean
07:00,NA,NA,NA,7.05,6.86834233,Mean
07:10,NA,NA,NA,7.05,6.86834233,Mean
07:20,NA,NA,NA,7.05,6.86834233,Mean
07:30,NA,NA,NA,7.05,6.86834233,Mean
07:40,NA,NA,NA,7.05,6.86834233,Mean
07:50,NA,NA,NA,7.05,6.86834233,Mean
08:00,NA,NA,NA,7.05,6.86834233,Mean
08:10,NA,NA,NA,7.05,6.86834233,Mean
08:20,NA,NA,NA,7.05,6.86834233,Mean
08:30,NA,NA,NA,7.05,6.86834233,Mean
08:40,NA,NA,NA,7.05,6.86834233,Mean
08:50,NA,NA,NA,7.05,6.86834233,Mean
09:00,NA,NA,NA,7.05,6.86834233,Mean
09:10,NA,NA,NA,7.05,6.86834233,Mean
